Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-25,1.4,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2010:Q4
2010-05-13,0.63,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2011:Q1
2010-08-12,0.83,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2011:Q2
2010-11-10,0.57,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2011:Q3
2011-02-24,1.66,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2011:Q4
2011-05-12,0.69,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2012:Q1
2011-08-11,1.08,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2012:Q2
2011-11-10,0.8,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2012:Q3
2012-02-23,1.81,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2012:Q4
2012-05-10,0.63,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2013:Q1
2012-08-09,1.0,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2013:Q2
2012-11-08,0.91,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2013:Q3
2013-02-28,1.66,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2013:Q4
2013-05-16,0.66,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2014:Q1
2013-08-15,1.04,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2014:Q2
2013-11-14,0.81,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2014:Q3
2014-02-27,1.56,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2014:Q4
2014-05-15,0.6,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2015:Q1
2014-08-14,1.13,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2015:Q2
2014-11-13,0.7,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2015:Q3
2015-02-26,1.83,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2015:Q4
2015-05-14,0.63,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2016:Q1
2015-08-13,1.0712,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2016:Q2
2015-11-12,0.7539,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2016:Q3
2016-02-25,1.58,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2016:Q4
2016-05-12,0.3161,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2017:Q1
2016-08-11,0.8777,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2017:Q2
2016-11-10,0.8212,Retail,"Consumer, Cyclical",Retail-Regnl Dept Store,2017:Q3
